#,SKU,Title,Categories (Woo import format),Tags,Catalog visibility
1,,"Custom Lifetime Adventure Shirts for Newlywed, Comfort Colors® Just Married Couple Tees, Mrs And Mr Shirt for Husband Wife, Honeymoon TShirt",Wedding > Honeymoon & Just Married,"Comfort Colors, Personalized",visible
2,,"Custom Pumpkin Alphabet Shirt, Personalized Family Matching Halloween Shirts, Custom Name Youth Kid Halloween Shirt, Spooky Season Tee",Halloween,"Family Matching, Personalized",visible
3,,"Halloween Family Matching Comfort Colors® Shirt, Mama Dada Family T-shirt, Pumpkin Season Sister Auntie Shirts, Retro Spooky Outfits",Halloween,"Comfort Colors, Family Matching, Retro",visible
4,,"Halloween Shirt, Halloween Stamp Shirt, Ghost Shirt, Comfort Colors® Fall Shirts, Women's Halloween Tees, Pumpkin Season Tee",Halloween,Comfort Colors,visible
5,,"Personalized One Happy Camper Family Matching Shirt, Camper 1st Birthday, Baby Nature First Birthday Outfit, Outdoor Camping Vacation Tee",Birthday > First Birthday,"Family Matching, Personalized",visible
6,,"One Spooky Dude Halloween Family Matching Shirts, Personalized Halloween 1st Birthday Comfort Colors® Shirt, Retro Ghost Halloween Toddler","Birthday > First Birthday, Halloween","Comfort Colors, Family Matching, Personalized, Retro",visible
7,,"Funny Pumpkin Face Halloween Shirts, Personalized Family Matching Spooky Group Outfit, Mom Dad Kids Halloween Top, Costume Party Gift",Halloween,"Family Matching, Personalized",visible
8,,"Funny Halloween Pumpkin Face Shirt, Jack O Lantern Shirt Matching Halloween Family Tee, Spooky Season Shirt, Mom and Me Halloween Outfit",Halloween,Family Matching,visible
9,,"My 1st Halloween Checkered Boo Ghost Pumpkin Shirt, Spooky Season Family Matching Tee, Coquette Bow Ball Cap Halloween Shirts","Birthday > First Birthday, Halloween",Family Matching,visible
10,,"Retro Halloween Boo Family Matching Shirts, Personalized Mama Mini Halloween Sweatshirt, Custom Name Mom and Baby, Fall Mama Shirt",Halloween,"Family Matching, Personalized, Sweatshirt, Mommy and Me, Retro",visible
11,,"Custom Family Christmas 2026 Shirts, Retro Family Reunion Matching TShirt, Creating Memories Together Shirt, Xmas Vacation Gifts",Christmas,"Personalized, Retro",visible
