Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Tags,Images,Position
simple,ET-0001,"Custom Lifetime Adventure Shirts for Newlywed, Comfort Colors® Just Married Couple Tees, Mrs And Mr Shirt for Husband Wife, Honeymoon TShirt",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Honeymoon Shirt, Honeymoon Club, Mr and Mrs shirt, Newlyweds tshirt, Bride Groom Shirts, Bride Shirt, Wedding Keepsake Tee, Bridal Shower Crew, custom wedding shirt, Lifetime Adventure, Honeymoon Camping, Just Married Shirt, New Couple Shirts","https://i.etsystatic.com/66523021/r/il/58739c/8445395161/il_fullxfull.8445395161_32fy.jpg, https://i.etsystatic.com/66523021/r/il/9d47ab/8397511760/il_fullxfull.8397511760_n969.jpg, https://i.etsystatic.com/66523021/r/il/e02b79/8445395023/il_fullxfull.8445395023_8tt4.jpg, https://i.etsystatic.com/66523021/r/il/19f73c/8445395169/il_fullxfull.8445395169_h47o.jpg, https://i.etsystatic.com/66523021/r/il/87c71f/8445395171/il_fullxfull.8445395171_m9ao.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg, https://i.etsystatic.com/66523021/r/il/9eb273/8337091110/il_fullxfull.8337091110_6jpy.jpg",0
simple,ET-0002,"Custom Pumpkin Alphabet Shirt, Personalized Family Matching Halloween Shirts, Custom Name Youth Kid Halloween Shirt, Spooky Season Tee",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Family Matching Tee, Halloween, Pumpkin Alphabet, Family Pumpkin, Halloween Custom, Spooky Name Shirt, Halloween Kid Shirt, Toddler Halloween, Matching Pumpkin Tee, Mama Dada Pumpkin, Thanksgiving, Comfort Colors, Family Pumpkin Patch","https://i.etsystatic.com/66523021/r/il/8255e3/8455501984/il_fullxfull.8455501984_ta03.jpg, https://i.etsystatic.com/66523021/r/il/73accf/8455501996/il_fullxfull.8455501996_qsqz.jpg, https://i.etsystatic.com/66523021/r/il/7b420f/8455501838/il_fullxfull.8455501838_rt2p.jpg, https://i.etsystatic.com/66523021/r/il/c54f83/8503352305/il_fullxfull.8503352305_s6qh.jpg, https://i.etsystatic.com/66523021/r/il/709114/8455501828/il_fullxfull.8455501828_8ol0.jpg, https://i.etsystatic.com/66523021/r/il/231bf0/8455502008/il_fullxfull.8455502008_eo6d.jpg, https://i.etsystatic.com/66523021/r/il/92199e/8314899983/il_fullxfull.8314899983_gpyd.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg",0
simple,ET-0003,"Halloween Family Matching Comfort Colors® Shirt, Mama Dada Family T-shirt, Pumpkin Season Sister Auntie Shirts, Retro Spooky Outfits",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Family matching tee, Family vacation tee, Vacation Group tee, Family trip shirt, family holiday shirt, personalized tee, custom name shirt, Baby Autumn Sweater, Fall Sweater, Thanksgiving, Comfort Colors, Mama and Mini, Patchwork Letters","https://i.etsystatic.com/66523021/r/il/0fdd81/8455491078/il_fullxfull.8455491078_nv3p.jpg, https://i.etsystatic.com/66523021/r/il/d543d8/8455491064/il_fullxfull.8455491064_6umt.jpg, https://i.etsystatic.com/66523021/r/il/50182f/8455491026/il_fullxfull.8455491026_ihmu.jpg, https://i.etsystatic.com/66523021/r/il/1b9d31/8503341139/il_fullxfull.8503341139_lxhn.jpg, https://i.etsystatic.com/66523021/r/il/bc3eed/8455491092/il_fullxfull.8455491092_fg2i.jpg, https://i.etsystatic.com/66523021/r/il/af8dc1/8455491080/il_fullxfull.8455491080_a0lv.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg",0
simple,ET-0004,"Halloween Shirt, Halloween Stamp Shirt, Ghost Shirt, Comfort Colors® Fall Shirts, Women's Halloween Tees, Pumpkin Season Tee",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Halloween Stamps, Halloween Tshirt, Ghost Stamps Shirt, Cute Ghost Shirt, Spooky Ghost Tee, Comfort Colors, Halloween Postage, Stamp Coquette Shirt, Retro Halloween, Trending Halloween, Pumpkin Season Tee, Fall Shirt, tis the season","https://i.etsystatic.com/66523021/r/il/dc63a1/8503025773/il_fullxfull.8503025773_34ap.jpg, https://i.etsystatic.com/66523021/r/il/223098/8455137210/il_fullxfull.8455137210_kobr.jpg, https://i.etsystatic.com/66523021/r/il/389732/8503000231/il_fullxfull.8503000231_o391.jpg, https://i.etsystatic.com/66523021/r/il/2ca9d1/8502989007/il_fullxfull.8502989007_nhny.jpg, https://i.etsystatic.com/66523021/r/il/a133be/8502988993/il_fullxfull.8502988993_14fd.jpg, https://i.etsystatic.com/66523021/r/il/b524df/8502988995/il_fullxfull.8502988995_2jqc.jpg, https://i.etsystatic.com/66523021/r/il/ce728a/8455137216/il_fullxfull.8455137216_nnee.jpg, https://i.etsystatic.com/66523021/r/il/f821b7/8455137214/il_fullxfull.8455137214_pdza.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg",0
simple,ET-0005,"Personalized One Happy Camper Family Matching Shirt, Camper 1st Birthday, Baby Nature First Birthday Outfit, Outdoor Camping Vacation Tee",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Family Matching Tee, Family trip shirt, Family vacation tee, Family Holiday shirt, family reunion shirt, family camping shirt, summer family shirts, One Happy Camper, Family Happy Camper, Camping 1st Birthday, One Camper Clothing, Camping Theme Kids, Camping Birthday Boy","https://i.etsystatic.com/66523021/r/il/3dc47c/8249796114/il_fullxfull.8249796114_o6wi.jpg, https://i.etsystatic.com/66523021/r/il/26f36a/8249796152/il_fullxfull.8249796152_4n7t.jpg, https://i.etsystatic.com/66523021/r/il/a35a5f/8297711233/il_fullxfull.8297711233_5ezt.jpg, https://i.etsystatic.com/66523021/r/il/7ebe54/8249796062/il_fullxfull.8249796062_tiqc.jpg, https://i.etsystatic.com/66523021/r/il/d933f8/8297711117/il_fullxfull.8297711117_qpfr.jpg, https://i.etsystatic.com/66523021/r/il/df059e/8297711197/il_fullxfull.8297711197_s1q3.jpg, https://i.etsystatic.com/66523021/r/il/1bcd41/8247017933/il_fullxfull.8247017933_5yqb.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg",0
simple,ET-0006,"One Spooky Dude Halloween Family Matching Shirts, Personalized Halloween 1st Birthday Comfort Colors® Shirt, Retro Ghost Halloween Toddler",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Comfort Colors, One Spooky Dude, First Halloween, 1st Birthday Boy, Family Matching Tee, One Spooky Mommy, One Ghost Shirt, 1st Bday Halloween, Spooky One Parents, Family Sweatshirts, 1st Birthday Girl, One Spooky Birthday, Halloween","https://i.etsystatic.com/66523021/r/il/6c82be/8330037049/il_fullxfull.8330037049_if62.jpg, https://i.etsystatic.com/66523021/r/il/59974a/8282120608/il_fullxfull.8282120608_9n3c.jpg, https://i.etsystatic.com/66523021/r/il/471384/8330037009/il_fullxfull.8330037009_q8xo.jpg, https://i.etsystatic.com/66523021/r/il/b3501d/8282120660/il_fullxfull.8282120660_8qbv.jpg, https://i.etsystatic.com/66523021/r/il/9e6dac/8282120746/il_fullxfull.8282120746_afzy.jpg, https://i.etsystatic.com/66523021/r/il/f91edb/8330037165/il_fullxfull.8330037165_1io2.jpg, https://i.etsystatic.com/66523021/r/il/1e2192/8282120658/il_fullxfull.8282120658_ebeu.jpg, https://i.etsystatic.com/66523021/r/il/92199e/8314899983/il_fullxfull.8314899983_gpyd.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg",0
simple,ET-0007,"Funny Pumpkin Face Halloween Shirts, Personalized Family Matching Spooky Group Outfit, Mom Dad Kids Halloween Top, Costume Party Gift",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Family matching tee, Family vacation tee, Vacation Group tee, Family trip shirt, family holiday shirt, personalized tee, custom name shirt, Comfort Colors, Pumpkin Face, Jack O Lantern, Spooky Season Shirt, Mom and Me Halloween, Scary Pumpkin Shirt","https://i.etsystatic.com/66523021/r/il/59967a/8490818783/il_fullxfull.8490818783_cel2.jpg, https://i.etsystatic.com/66523021/r/il/005224/8442954952/il_fullxfull.8442954952_bm9x.jpg, https://i.etsystatic.com/66523021/r/il/b9e326/8442961666/il_fullxfull.8442961666_rlyb.jpg, https://i.etsystatic.com/66523021/r/il/ca78b9/8442954988/il_fullxfull.8442954988_e3mm.jpg, https://i.etsystatic.com/66523021/r/il/2e84cc/8442954990/il_fullxfull.8442954990_hwrp.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg, https://i.etsystatic.com/66523021/r/il/526852/8237998442/il_fullxfull.8237998442_iosw.jpg",0
simple,ET-0008,"Funny Halloween Pumpkin Face Shirt, Jack O Lantern Shirt Matching Halloween Family Tee, Spooky Season Shirt, Mom and Me Halloween Outfit",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Family matching tee, Family vacation tee, Vacation Group tee, Family trip shirt, family holiday shirt, personalized tee, custom name shirt, Comfort Colors, Pumpkin Face, Jack O Lantern, Spooky Season Shirt, Mom and Me Halloween, Scary Pumpkin Shirt","https://i.etsystatic.com/66523021/r/il/57e673/8442936736/il_fullxfull.8442936736_elgo.jpg, https://i.etsystatic.com/66523021/r/il/33cf66/8490801367/il_fullxfull.8490801367_gda8.jpg, https://i.etsystatic.com/66523021/r/il/b6dcd6/8442936716/il_fullxfull.8442936716_ptu0.jpg, https://i.etsystatic.com/66523021/r/il/f66861/8490800817/il_fullxfull.8490800817_7o9m.jpg, https://i.etsystatic.com/66523021/r/il/68109e/8490800779/il_fullxfull.8490800779_58mx.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg, https://i.etsystatic.com/66523021/r/il/526852/8237998442/il_fullxfull.8237998442_iosw.jpg",0
simple,ET-0009,"My 1st Halloween Checkered Boo Ghost Pumpkin Shirt, Spooky Season Family Matching Tee, Coquette Bow Ball Cap Halloween Shirts",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Comfort Colors, One Spooky Dude, First Halloween, 1st Birthday Boy, Family Matching Tee, One Spooky Mommy, One Ghost Shirt, 1st Bday Halloween, Spooky One Parents, Family Sweatshirts, 1st Birthday Girl, One Spooky Birthday, Halloween","https://i.etsystatic.com/66523021/r/il/1b7468/8442842632/il_fullxfull.8442842632_dgvg.jpg, https://i.etsystatic.com/66523021/r/il/a3bae9/8442842600/il_fullxfull.8442842600_ppw2.jpg, https://i.etsystatic.com/66523021/r/il/36bf85/8442842730/il_fullxfull.8442842730_iquq.jpg, https://i.etsystatic.com/66523021/r/il/c03c68/8442842628/il_fullxfull.8442842628_p083.jpg, https://i.etsystatic.com/66523021/r/il/92199e/8314899983/il_fullxfull.8314899983_gpyd.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg",0
simple,ET-0010,"Retro Halloween Boo Family Matching Shirts, Personalized Mama Mini Halloween Sweatshirt, Custom Name Mom and Baby, Fall Mama Shirt",-1,0,visible,,,taxable,1,,12.99,Uncategorized,"Comfort Colors, Family Matching Tee, Halloween, Matching Halloween, Mama Boo Mini Boo, Mommy Me Halloween, Spooky Mama Baby, Mommy and Me, Mom Daughter, Mom and Mini, Halloween Outfit, spooky mama mini, mamas boo crew","https://i.etsystatic.com/66523021/r/il/a59087/8490682769/il_fullxfull.8490682769_derp.jpg, https://i.etsystatic.com/66523021/r/il/51bbc4/8490682751/il_fullxfull.8490682751_quz7.jpg, https://i.etsystatic.com/66523021/r/il/4f53a9/8442818186/il_fullxfull.8442818186_8hp9.jpg, https://i.etsystatic.com/66523021/r/il/bfc9a1/8442818342/il_fullxfull.8442818342_lovr.jpg, https://i.etsystatic.com/66523021/r/il/469d38/8442818332/il_fullxfull.8442818332_iir3.jpg, https://i.etsystatic.com/66523021/r/il/92199e/8314899983/il_fullxfull.8314899983_gpyd.jpg, https://i.etsystatic.com/66523021/r/il/dedb91/8247017919/il_fullxfull.8247017919_4ji3.jpg, https://i.etsystatic.com/66523021/r/il/5737ff/8199099376/il_fullxfull.8199099376_n638.jpg, https://i.etsystatic.com/66523021/r/il/726027/8247017937/il_fullxfull.8247017937_tnnv.jpg, https://i.etsystatic.com/66523021/r/il/5380b8/8247017941/il_fullxfull.8247017941_p4ow.jpg",0
